"state","year","pregnancyratelt15","pregnancyrate1517","pregnancyrate1819","pregnancyrate1519","pregnancyratelt20","pregnancyrate2024","pregnancyrate2529","pregnancyrate3034","pregnancyrate3539","pregnancyrate40plus","pregnancieslt15","pregnancies1517","pregnancies1819","pregnancies1519","pregnancieslt20","pregnancies2024","pregnancies2529","pregnancies3034","pregnancies3539","pregnancies40plus","pregnancyratetotal","pregnanciestotal","notes","versiondate"
"AL",2015,3.1,19.2,78.1,42.4,43,135.8,150.5,111.6,46.4,8.9,100,1830,4830,6660,6760,23320,24640,17390,7050,1380,84.2,80550,""," 1 Mar 2021"
"AL",2016,2.9,18.6,73.1,40,40.5,133.3,148.4,113.1,47.3,9.1,90,1780,4530,6310,6400,22160,24900,17560,7310,1370,83.7,79690,""," 1 Mar 2021"
"AL",2017,2.8,16.3,71.2,38.1,38.7,132.7,146.5,113.2,48.4,9.5,80,1540,4430,5980,6060,21640,25010,17500,7530,1420,83.3,79150,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"AR",1988,19.1,76.2,174.9,115.9,119.5,196.1,142.1,73.9,25.6,5.9,320,4090,6310,10390,10710,17390,13240,6730,2170,440,96.9,50690,""," 1 Mar 2021"
"AR",1992,17.9,70.7,181,115.3,118.8,207.9,149.6,75.5,28.9,5.9,310,3680,6410,10100,10410,17930,12780,7070,2650,500,97,51340,""," 1 Mar 2021"
"AR",1996,16.5,63.7,170.8,105.8,109.2,190.2,151.1,79.5,31,5.7,320,3690,6420,10110,10430,16770,12770,7440,3050,530,92.1,50990,""," 1 Mar 2021"
"AR",2000,11.9,50.8,153.9,92.8,95.1,194.9,155.6,86.2,30.9,7.1,220,2920,6070,8990,9210,17680,13530,7570,3110,710,92,51810,""," 1 Mar 2021"
"AR",2005,8.8,40.7,139,79.7,81.5,183.4,155.8,97,38.2,7.9,170,2360,5310,7680,7850,17830,14390,8460,3440,800,93.5,52770,""," 1 Mar 2021"
"AR",2006,9,43.5,146.7,84.2,85.9,193.6,157.2,98.1,39.7,8.1,170,2580,5650,8230,8400,18670,15160,8470,3640,810,97,55140,""," 1 Mar 2021"
"AR",2007,9.1,43.2,143.5,83.1,84.8,195.6,158.1,99,42.1,8.8,170,2560,5620,8190,8360,18780,15520,8510,3890,860,98.3,55910,""," 1 Mar 2021"
"AR",2008,8.3,43.4,139,82.5,84.1,186.9,156.3,101.1,39.9,8.8,150,2550,5660,8200,8360,18080,15290,8810,3710,830,96.8,55090,""," 1 Mar 2021"
"AR",2009,7.6,41.5,132.1,79.5,80.9,180.3,156.6,98.1,38.4,8,140,2400,5500,7900,8050,17600,15250,8770,3570,730,94.9,53960,""," 1 Mar 2021"
"AR",2010,6.7,35.6,125.5,72.9,74.2,166.9,153.7,98.8,39.7,8.5,130,2060,5170,7240,7370,16650,14750,9090,3640,780,91.7,52280,""," 1 Mar 2021"
"AR",2011,5.9,32.5,119.8,68.1,69.3,160.9,157.2,100.1,39.8,9.1,110,1870,4770,6640,6760,16560,15030,9410,3580,850,91.1,52180,""," 1 Mar 2021"
"AR",2012,5.1,30.4,109.1,61.8,62.9,157.2,153,102.7,42.6,8.9,100,1760,4210,5970,6070,16430,14600,9790,3810,830,89.6,51520,""," 1 Mar 2021"
"AR",2013,3.3,25.6,108.1,58.2,58.9,151.1,154.3,101,43,9.6,60,1490,4120,5610,5670,15870,14700,9700,3850,900,88,50690,""," 1 Mar 2021"
"AR",2014,3.4,22.4,98.9,52.7,53.3,150.6,155.5,106.8,43.9,9.8,70,1310,3760,5070,5140,15770,14950,10270,3960,910,88.4,51000,""," 1 Mar 2021"
"AR",2015,3.6,21.1,94.7,50.2,50.9,148.9,155.9,109.2,45.8,9.3,70,1240,3620,4860,4930,15250,15310,10440,4200,850,88.4,50990,""," 1 Mar 2021"
"AR",2016,3.7,19.2,86.8,45.9,46.6,146.4,152.4,107.3,45.5,9.5,70,1130,3330,4460,4530,14700,15330,10210,4260,850,86.5,49880,""," 1 Mar 2021"
"AR",2017,4.1,17.3,84,43.8,44.6,142.6,149.8,108.8,44,9.7,80,1010,3220,4230,4310,14150,15280,10330,4170,860,85.1,49110,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"AZ",1988,14.4,79.3,192.3,126.6,129.2,228.7,191,114.7,46.6,9.5,330,5910,10320,16240,16560,31400,30460,17440,6240,1060,125.4,103170,""," 1 Mar 2021"
"AZ",1992,14.8,81.8,205,131,134,225.2,182.5,116.1,52.6,10.8,380,6220,10350,16570,16960,31640,28360,19490,8020,1450,120.7,105910,""," 1 Mar 2021"
"AZ",1996,12.8,76.2,174,115,117.6,215.4,172,114.5,53.7,12.7,410,7080,10620,17690,18110,32210,29300,20950,9880,2080,112,112520,""," 1 Mar 2021"
"AZ",2000,10.9,63.2,163.5,104.4,106.6,203.4,180.2,126.6,57,13.6,390,6650,11990,18630,19020,35380,32150,22460,11000,2560,112.5,122580,""," 1 Mar 2021"
"AZ",2005,8.1,51.2,150.6,90,91.7,198,181.5,140.1,65.1,14.8,340,6290,11840,18130,18470,39440,36860,26770,12520,3060,114.9,137120,""," 1 Mar 2021"
"AZ",2006,8.1,51.5,153,91.1,92.7,204,180.8,140.9,68.2,16.2,340,6590,12480,19070,19410,41080,38960,27200,13640,3360,117.2,143650,""," 1 Mar 2021"
"AZ",2007,11.3,48.4,148,87.5,89.8,195.5,178,142.5,65.9,16.9,490,6340,12560,18900,19390,40010,39160,27810,13540,3460,115.1,143370,""," 1 Mar 2021"
"AZ",2008,7.8,47.1,133.9,82.3,83.8,187.3,175.8,139.2,66.7,15.6,340,6200,12000,18190,18530,39090,38870,27560,13850,3170,112,141080,""," 1 Mar 2021"
"AZ",2009,4.7,38.2,118.6,71.3,72.2,167.8,167.1,131,62.8,15.6,210,5040,10930,15960,16170,35380,36470,26420,13020,3130,103.4,130590,""," 1 Mar 2021"
"AZ",2010,4.6,31.8,101.8,60.5,61.4,151,159,126,61.3,15.2,200,4190,9320,13510,13710,32450,34050,25860,12550,3070,96.3,121690,""," 1 Mar 2021"
"AZ",2011,4.3,27.3,98.6,56.1,56.9,143.9,158.1,125.1,63.2,16.2,190,3580,8760,12340,12530,32060,33750,26170,12700,3340,94.7,120550,""," 1 Mar 2021"
"AZ",2012,3.3,26.4,92.6,53,53.6,137.3,159.1,126.5,63.2,16.3,140,3460,8150,11610,11760,31640,33840,26910,12730,3400,93.6,120280,""," 1 Mar 2021"
"AZ",2013,2.4,21.6,84.8,46.9,47.4,131.9,157.5,123.7,63.2,15.4,110,2850,7450,10300,10410,30970,33720,26770,12830,3220,90.9,117920,""," 1 Mar 2021"
"AZ",2014,1.8,18.9,77.4,42.2,42.6,128.5,155.1,127.7,66.1,15.8,80,2520,6840,9350,9440,30510,34020,27970,13580,3300,90.5,118820,""," 1 Mar 2021"
"AZ",2015,1.8,16.7,69.5,37.7,38.1,124.9,152.2,126.6,65.5,16.3,80,2270,6220,8490,8570,29480,34470,27810,13710,3390,88.7,117420,""," 1 Mar 2021"
"AZ",2016,2.3,14.8,64.7,34.7,35.1,121.9,147.7,128.3,64.3,16.1,100,2040,5880,7920,8020,28590,34700,28410,13830,3320,87.2,116870,""," 1 Mar 2021"
"AZ",2017,1.7,13.5,60.6,32.3,32.6,114.7,139.7,123.3,63.2,16.3,80,1860,5540,7400,7480,26770,33890,27430,13910,3380,83.3,112840,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"CA",1988,19,98.2,228.4,152.5,155.9,241.7,205.6,137.3,65.9,15,3310,56710,94530,151230,154540,276950,277290,183330,75840,14400,141.8,982360,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of AZ, NV, OR, WA)"," 1 Mar 2021"
"CA",1992,21,100.2,241,156.2,160.6,265.6,206.7,144.9,74.1,18.7,4150,57520,91390,148900,153060,299770,278680,207320,96500,20990,145,1056310,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of AZ, NV, OR, WA)"," 1 Mar 2021"
"CA",1996,15.2,79.2,199.7,124.4,127.8,231.6,186.2,135.8,72.2,19.8,3530,51290,77750,129040,132570,232130,235190,187640,97620,23820,125.6,908980,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of AZ, NV, OR, WA)"," 1 Mar 2021"
"CA",2000,11.6,55.9,157.1,96.3,98.6,202.9,184.7,145.5,75.5,20.5,2800,39710,74100,113810,116610,232220,227030,189980,104380,27370,118.4,897590,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2005,8.1,42.1,129.2,75.4,77.1,178.2,178,153.2,83.7,22.3,2220,33640,63850,97490,99710,225200,225740,193570,110690,30630,113.7,885540,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2006,7.6,42.2,133.5,77,78.6,184.1,180.4,156.9,85.8,23.3,2070,34580,67380,101960,104030,232100,234510,193630,114110,31450,116.7,909830,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2007,7.9,42.6,132.3,77.2,78.7,184.1,182,160.8,87.4,23.7,2090,35410,68710,104120,106210,233000,239530,196850,115680,31350,118.2,922620,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2008,7.3,40.6,122.4,73,74.5,174.1,175.2,156.8,85.8,24.2,1940,33500,66200,99700,101640,223140,233390,192670,112890,31540,114.4,895260,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2009,6.6,37.1,110.5,66.9,68.1,160.3,167,150.2,83.8,24.1,1740,30230,61490,91710,93450,208960,223240,187550,108910,31100,108.7,853220,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2010,5.8,32.4,101,60.3,61.4,147.9,161,146.4,83,23.9,1490,26130,55970,82100,83580,197640,215330,186570,106070,31070,104,820260,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2011,5.2,28.6,92.4,54.2,55.2,136.3,155.7,146.1,83.6,24.2,1330,22770,49480,72260,73590,187830,209690,189760,105010,31760,100.6,797640,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2012,4.7,25.2,85.1,49.4,50.2,130.1,153.8,147.6,85.9,24.4,1170,19730,45060,64790,65960,182720,208090,195430,107600,32160,99.5,791970,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2013,4,21.5,77.3,44.1,44.9,124,147.8,146.1,86.4,24.1,1000,16560,40640,57200,58190,174910,202850,197360,108620,31610,96.7,773550,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2014,3.1,18.9,69.3,39.4,40,119.9,146,149.1,90.2,24.6,780,14390,35950,50340,51130,168670,205300,204560,114300,31840,96.7,775810,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2015,2.7,16.6,63.1,35.3,35.9,113.1,139,146.7,89.1,24.9,680,12560,32330,44890,45570,156790,200950,203140,114680,31770,93.6,752900,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2016,2.5,14.7,57.1,31.7,32.2,108,134.5,146.2,89.6,25.2,610,11110,28930,40030,40640,146300,199860,204000,117470,31560,91.8,739840,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2017,2.1,12.9,52.2,28.7,29.1,101.5,127.2,141,88.5,25.5,510,9610,26250,35860,36370,135150,191870,197360,117930,31840,88.1,710510,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CO",1988,9.9,65.6,149.6,100.6,102.4,187.1,164.6,104.9,43.5,9,200,4410,7200,11610,11820,22210,24840,17000,6410,1060,102.6,83350,""," 1 Mar 2021"
"CO",1992,13.8,72.8,170.1,111,113.9,191.1,161.8,110.3,49.6,10.6,320,4850,7310,12160,12480,22960,22150,18460,8120,1530,101.7,85690,""," 1 Mar 2021"
"CO",1996,10.6,60,145.4,93.3,95.6,169.5,148.9,110.2,52.1,12,290,4730,7310,12050,12340,21140,21790,18370,9600,2060,92.4,85310,""," 1 Mar 2021"
"CO",2000,7.6,49,131.4,81.9,83.5,163.3,152,126.1,57.6,13.3,230,4360,7780,12140,12370,23680,23690,20180,10390,2460,95.2,92770,""," 1 Mar 2021"
"CO",2005,7,38.8,113.4,68.4,69.8,154.3,162.8,136.6,71.5,15.9,230,3730,7140,10860,11090,25010,25850,22250,11800,2920,99.8,98920,""," 1 Mar 2021"
"CO",2006,7,38.5,114.1,68.3,69.7,156,163.9,139.3,73.4,15.9,230,3730,7220,10960,11190,25630,26940,22420,12390,2840,101.7,101400,""," 1 Mar 2021"
"CO",2007,5.6,38.1,115.6,68.6,69.8,154.7,160.7,137.3,72.3,16.8,180,3750,7380,11130,11310,25240,27440,22250,12480,2930,101.2,101650,""," 1 Mar 2021"
"CO",2008,5.8,36.6,110.6,66.2,67.3,151.3,154.8,136,70,16.6,180,3590,7260,10860,11040,24810,27120,22460,12180,2840,99.2,100450,""," 1 Mar 2021"
"CO",2009,4.8,32.5,102.5,60.8,61.8,142.6,148.8,134,69.4,17.8,150,3180,6830,10010,10160,23590,26670,22640,12020,3020,96.1,98110,""," 1 Mar 2021"
"CO",2010,4.3,29.4,89.5,53.9,54.7,133.6,143.3,130.1,68.8,17.8,140,2860,5970,8830,8960,22400,25960,22610,11750,3040,92.1,94730,""," 1 Mar 2021"
"CO",2011,4.5,24,79.5,46.8,47.7,122.6,138.8,130.7,68.5,17.9,150,2320,5350,7670,7820,20960,25620,23460,11530,3130,88.8,92510,""," 1 Mar 2021"
"CO",2012,2.6,20.3,71.2,41.1,41.6,118.2,137.7,129.5,69.9,17,90,1970,4760,6730,6820,20570,25680,23940,11830,3010,87,91860,""," 1 Mar 2021"
"CO",2013,2,18.5,64.5,37.1,37.6,111.4,135.1,129,70,16.4,70,1800,4290,6090,6160,19710,25540,24460,12060,2910,84.9,90840,""," 1 Mar 2021"
"CO",2014,2.1,14.9,59.4,32.8,33.2,111.8,134.2,129.8,69.8,17.6,70,1480,3950,5420,5490,19980,25850,25170,12340,3110,84.9,91940,""," 1 Mar 2021"
"CO",2015,2,14,56.4,30.9,31.3,106.6,129.7,130.6,72.1,17.1,70,1410,3780,5200,5260,19160,25850,25960,13210,3000,83.7,92450,""," 1 Mar 2021"
"CO",2016,2.5,12.7,52.1,28.3,28.8,100.3,126,130.4,71.9,17.7,80,1310,3530,4840,4930,18030,25890,26510,13660,3070,82,92090,""," 1 Mar 2021"
"CO",2017,1.3,11.6,48.4,26.2,26.5,94.7,119.8,125.2,70.1,17.5,50,1210,3320,4530,4580,16950,25310,25880,13720,3040,78.5,89470,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"CT",1988,17.2,74.3,141.9,102.8,105.6,158.1,176.3,126.9,50.1,9.1,320,4960,6890,11850,12170,21090,25260,18480,6510,1100,107.4,84610,""," 1 Mar 2021"
"CT",1992,18.1,67,136.3,95.3,98.9,157.6,168.2,133.5,57.1,11.3,340,3760,5280,9040,9380,18060,22350,19920,8060,1430,104.3,79200,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in the year subsequent to the estimate"," 1 Mar 2021"
"CT",1996,10.9,57.9,126.2,84.5,86.8,146,156.5,140.6,62.8,13.4,230,3460,4800,8260,8490,13660,18220,19890,9430,1830,97.2,71520,""," 1 Mar 2021"
"CT",2000,7.5,43.4,113.3,70.5,72.1,147.2,158.5,146.2,70.8,15.2,170,2810,4630,7430,7600,13690,15990,18630,10470,2250,95,68640,""," 1 Mar 2021"
"CT",2005,7,34,95.1,57.3,58.8,144.8,167.9,159.5,82.7,18.2,170,2530,4380,6910,7080,14730,16230,17440,10930,2720,97.4,69140,""," 1 Mar 2021"
"CT",2006,6.5,34.1,98.6,58.6,59.9,145.2,170.3,160.1,83.1,18.9,160,2580,4580,7160,7320,15140,16660,16850,10770,2780,98.4,69520,""," 1 Mar 2021"
"CT",2007,6.6,33.5,96.8,57.7,59,143.5,172.9,160.2,84.7,18.6,160,2550,4550,7100,7260,15200,17110,16520,10740,2670,99.1,69500,""," 1 Mar 2021"
"CT",2008,5,31.5,93.1,55.7,56.7,138.6,162.4,159.5,80.7,18.6,120,2360,4510,6870,7000,14800,16710,16350,9940,2620,96.4,67410,""," 1 Mar 2021"
"CT",2009,4.4,27.7,86.3,50.8,51.6,130.1,154.5,153.2,79.4,20,110,2060,4180,6250,6350,14230,16070,15900,9380,2730,93,64660,""," 1 Mar 2021"
"CT",2010,4.1,23.6,74.7,44.1,44.9,120.4,146.8,154.2,79.8,19.6,100,1740,3710,5450,5540,13400,15630,16100,8990,2620,90,62280,""," 1 Mar 2021"
"CT",2011,3.9,20.1,62.4,37.8,38.5,117.6,146.8,152.1,78.7,19.2,90,1470,3280,4750,4840,13050,15780,16160,8480,2520,88.2,60830,""," 1 Mar 2021"
"CT",2012,3.5,18,54.1,33.4,34,111.7,142.1,149.7,79.8,18.9,80,1300,2900,4200,4280,12490,15320,16180,8450,2420,86,59130,""," 1 Mar 2021"
"CT",2013,2.3,15.7,48,29.5,29.9,104.9,140.4,150.4,80,19,50,1120,2550,3670,3720,11960,15130,16440,8400,2340,84.8,58000,""," 1 Mar 2021"
"CT",2014,2.3,14.3,43.5,26.7,27.1,97,143.2,154.2,83.3,19.9,50,1010,2280,3290,3350,11360,15400,16890,8800,2350,85.3,58150,""," 1 Mar 2021"
"CT",2015,1.9,12.4,39.5,23.9,24.2,88.1,142.5,156.2,84,19.9,40,880,2040,2920,2960,10450,15210,17100,8980,2250,84.2,56940,""," 1 Mar 2021"
"CT",2016,2,10.4,36.4,21.4,21.8,82,143.1,158.5,86.3,22.1,40,730,1870,2600,2640,9780,15120,17450,9340,2380,84.4,56710,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"CT",2017,1.9,10.3,34.8,20.8,21.1,76.7,138.5,156.9,86.5,21.8,40,710,1780,2490,2530,9130,14720,17270,9460,2300,82.7,55410,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"DC",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.7,27860,""," 1 Mar 2021"
"DC",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,25300,""," 1 Mar 2021"
"DC",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.2,16250,""," 1 Mar 2021"
"DC",2000,37.6,114.9,127,121.8,127,154.5,127.4,117,77.4,24.8,100,970,1440,2410,2520,4390,3500,2850,1740,520,108,15520,""," 1 Mar 2021"
"DC",2005,30.4,106.1,113.3,110.2,114.9,152.3,133.3,129.5,99.8,33.2,100,940,1290,2230,2330,4380,3860,3260,2110,650,115.3,16590,""," 1 Mar 2021"
"DC",2006,25.5,108.2,116.1,112.7,116.4,139.3,132.2,131.3,99.3,34.1,80,980,1360,2340,2420,4210,3990,3310,2120,660,113.6,16710,""," 1 Mar 2021"
"DC",2007,17.6,100,108.2,104.6,107.2,130.3,121.5,136.4,111.6,31.9,60,920,1260,2180,2240,4050,3830,3460,2390,610,111,16580,""," 1 Mar 2021"
"DC",2008,24.7,112.7,113,112.9,116.2,129.9,121.8,140,111.5,36.2,70,1000,1390,2390,2460,4240,4060,3620,2370,670,114,17420,""," 1 Mar 2021"
"DC",2009,23.1,93.2,105,100.2,103.1,116.3,110.3,127.5,101.8,34.4,60,810,1330,2140,2200,3940,3860,3490,2200,630,103.7,16320,""," 1 Mar 2021"
"DC",2010,18.2,80.3,97.6,90.6,92.9,105,91.4,124.2,98.7,33.9,50,680,1210,1890,1940,3670,3480,3610,2140,640,94.7,15470,""," 1 Mar 2021"
"DC",2011,23,67.8,87.3,79.5,82.3,106.1,78.2,118.6,97.8,31.3,60,560,1080,1630,1690,3530,3150,3750,2160,600,89.1,14890,""," 1 Mar 2021"
