Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Georgia,5766,5947,5977,5662,5596,5988,6238,6040,5946,5718,5706,5820,5819,5980,6315,6437,6490,6433,6532,6313,0.5
11,Private Health Insurance Enrollee Population (Thousands),State,8,Far West,Hawaii,900,901,938,932,948,932,933,884,834,870,862,848,850,867,885,898,887,861,877,894,0
11,Private Health Insurance Enrollee Population (Thousands),State,7,Rocky Mountains,Idaho,913,903,900,945,985,997,1051,1050,1019,1034,1043,1042,1052,1088,1122,1148,1148,1155,1215,1203,1.5
11,Private Health Insurance Enrollee Population (Thousands),State,3,Great Lakes,Illinois,9075,9188,9157,9279,9016,9059,9012,8889,8486,8299,8260,8357,8295,8382,8564,8558,8470,8407,8401,8285,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,3,Great Lakes,Indiana,4749,4636,4557,4286,4305,4692,4456,4342,4227,4128,4123,4168,4157,4208,4316,4370,4333,4288,4285,4244,-0.6
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,Iowa,2389,2326,2312,2245,2282,2189,2279,2276,2243,2202,2216,2230,2195,2237,2279,2240,2268,2192,2173,2215,-0.4
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,Kansas,1978,2083,2020,1965,2045,1976,1931,1930,1855,1865,1846,1851,1862,1867,1936,1936,1916,1878,1883,1956,-0.1
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Kentucky,2781,2834,2761,2644,2693,2710,2651,2683,2584,2566,2545,2610,2593,2632,2644,2625,2604,2596,2592,2511,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Louisiana,2699,2721,2707,2643,2477,2410,2507,2470,2462,2422,2433,2454,2489,2528,2609,2584,2527,2438,2375,2358,-0.7
11,Private Health Insurance Enrollee Population (Thousands),State,1,New England,Maine,896,880,873,865,866,897,902,872,828,829,830,829,817,837,868,878,876,877,855,782,-0.7
11,Private Health Insurance Enrollee Population (Thousands),State,2,Mideast,Maryland,4206,4244,4171,4088,4057,4154,4084,4067,3969,3953,4002,4018,4031,4032,4116,4114,4132,4047,4049,3849,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,1,New England,Massachusetts,4677,4736,4714,4650,4626,4647,4680,4780,4662,4565,4510,4589,4580,4507,4563,4560,4583,4577,4631,4461,-0.2
11,Private Health Insurance Enrollee Population (Thousands),State,3,Great Lakes,Michigan,7823,7643,7603,7418,7422,7318,7236,7003,6633,6493,6454,6551,6540,6648,6686,6721,6712,6644,6681,6518,-1
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,Minnesota,4070,4160,4054,4121,4065,3933,4061,3849,3765,3754,3735,3810,3808,3834,3857,3886,3886,3865,3907,3821,-0.3
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Mississippi,1675,1712,1663,1652,1585,1679,1564,1594,1511,1474,1482,1496,1480,1539,1544,1576,1563,1563,1516,1610,-0.2
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,Missouri,4180,4244,4223,3915,4000,3978,3982,3930,3866,3822,3759,3758,3803,3842,3959,3999,3946,3880,3870,3816,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,7,Rocky Mountains,Montana,613,615,580,591,616,614,628,632,614,642,619,606,620,652,687,665,664,657,658,665,0.4
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,Nebraska,1302,1309,1302,1284,1314,1304,1276,1302,1246,1265,1252,1289,1292,1302,1341,1336,1336,1310,1338,1417,0.4
11,Private Health Insurance Enrollee Population (Thousands),State,8,Far West,Nevada,1555,1450,1520,1621,1653,1658,1761,1698,1659,1626,1615,1640,1666,1715,1762,1812,1834,1827,1867,1764,0.7
11,Private Health Insurance Enrollee Population (Thousands),State,1,New England,New Hampshire,1010,1020,1005,1013,1012,1010,1020,992,982,967,967,952,952,967,976,971,979,962,967,987,-0.1
11,Private Health Insurance Enrollee Population (Thousands),State,2,Mideast,New Jersey,6421,6435,6353,6490,6496,6316,6133,6208,6061,6002,5949,6022,5924,5970,6025,6099,6103,6025,5948,5890,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,6,Southwest,New Mexico,1011,1042,1016,1095,1096,1054,1057,1034,1007,1038,1003,1041,987,1008,1012,1016,1000,1001,1014,923,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,2,Mideast,New York,12517,12709,12549,12853,12785,12475,12169,12309,11990,11567,11474,11766,11607,11709,11826,11842,11927,11688,11766,11896,-0.3
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,North Carolina,5486,5345,5227,5603,5584,5637,5757,5795,5626,5611,5632,5671,5726,5942,6155,6255,6278,6290,6356,6552,0.9
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,North Dakota,469,483,481,478,479,459,473,471,477,495,496,510,531,554,551,546,552,545,542,529,0.6
11,Private Health Insurance Enrollee Population (Thousands),State,3,Great Lakes,Ohio,8596,8706,8367,8298,8168,8225,8059,7888,7548,7434,7392,7443,7416,7386,7483,7460,7406,7289,7387,7178,-0.9
11,Private Health Insurance Enrollee Population (Thousands),State,6,Southwest,Oklahoma,2220,2255,2136,2115,2164,2092,2117,2297,2253,2278,2287,2326,2340,2425,2494,2476,2454,2471,2433,2235,0
11,Private Health Insurance Enrollee Population (Thousands),State,8,Far West,Oregon,2481,2483,2409,2452,2467,2469,2537,2608,2493,2447,2437,2493,2481,2457,2589,2658,2657,2654,2718,2738,0.5
11,Private Health Insurance Enrollee Population (Thousands),State,2,Mideast,Pennsylvania,9506,9405,9207,9026,9287,9091,9121,8857,8679,8633,8534,8655,8638,8639,8760,8579,8541,8438,8398,8251,-0.7
11,Private Health Insurance Enrollee Population (Thousands),State,1,New England,Rhode Island,779,760,755,732,752,757,739,725,693,673,680,673,669,662,682,697,667,663,650,678,-0.7
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,South Carolina,2899,2712,2800,2646,2652,2680,2800,2843,2757,2716,2723,2759,2805,2864,3050,3087,3073,3094,3159,2963,0.1
11,Private Health Insurance Enrollee Population (Thousands),State,4,Plains,South Dakota,584,569,558,533,554,551,586,562,533,560,551,559,551,576,564,594,588,576,589,595,0.1
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Tennessee,3866,3868,3940,3708,3679,3813,3826,3617,3468,3446,3414,3543,3482,3550,3639,3703,3714,3648,3727,3528,-0.5
11,Private Health Insurance Enrollee Population (Thousands),State,6,Southwest,Texas,13130,12538,12519,13030,13176,13407,13236,13227,13007,12983,13155,13491,13802,14551,15350,15630,15726,15660,15912,15719,1
11,Private Health Insurance Enrollee Population (Thousands),State,7,Rocky Mountains,Utah,1698,1738,1810,1794,1770,1816,1959,2179,2173,2089,2136,2204,2239,2290,2404,2485,2511,2543,2597,2626,2.3
11,Private Health Insurance Enrollee Population (Thousands),State,1,New England,Vermont,438,441,427,410,420,431,428,418,404,397,404,407,389,401,397,399,383,393,397,407,-0.4
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Virginia,5295,5193,5305,5374,5337,5385,5237,5409,5338,5341,5347,5463,5467,5537,5654,5730,5704,5652,5595,5887,0.6
11,Private Health Insurance Enrollee Population (Thousands),State,8,Far West,Washington,4343,4180,4124,4244,4414,4500,4580,4430,4317,4289,4302,4411,4414,4524,4669,4727,4801,4776,4924,4783,0.5
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,West Virginia,1130,1085,1071,1105,1112,1117,1130,1159,1141,1143,1110,1147,1143,1122,1144,1107,1078,1067,1062,1067,-0.3
11,Private Health Insurance Enrollee Population (Thousands),State,3,Great Lakes,Wisconsin,4269,4287,4084,4069,4108,4188,4141,4049,3898,3821,3759,3878,3834,3875,3983,3985,4008,3935,3968,4099,-0.2
11,Private Health Insurance Enrollee Population (Thousands),State,7,Rocky Mountains,Wyoming,342,339,332,354,345,364,367,361,359,368,370,370,399,394,403,396,381,388,375,360,0.3
