"state","year","pregnancyratelt15","pregnancyrate1517","pregnancyrate1819","pregnancyrate1519","pregnancyratelt20","pregnancyrate2024","pregnancyrate2529","pregnancyrate3034","pregnancyrate3539","pregnancyrate40plus","pregnancieslt15","pregnancies1517","pregnancies1819","pregnancies1519","pregnancieslt20","pregnancies2024","pregnancies2529","pregnancies3034","pregnancies3539","pregnancies40plus","miscarriageslt15","miscarriages1517","miscarriages1819","miscarriages1519","miscarriageslt20","miscarriages2024","miscarriages2529","miscarriages3034","miscarriages3539","miscarriages40plus","populationlt15","population1517","population1819","population1519","populationlt20","population2024","population2529","population3034","population3539","population40plus","population1544","pregnancyratetotal","miscarriagestotal","pregnanciestotal","notes","versiondate"
"AL",2000,11.9,53.7,140.8,89.8,92.1,186.8,158.7,96.1,37.6,7.2,370,5050,9360,14410,14780,29180,23900,14690,6500,1280,50,770,1430,2190,2250,4480,3730,2320,1010,190,31188,93964,66492,160456,160456,156233,150616,152816,172909,177209,970239,93.1,13970,90320,""," 1 Mar 2021"
"AL",2005,8.7,38.6,118.7,70.8,72.5,165.8,154.8,100.5,40.7,8.3,280,3740,7710,11440,11730,27130,22830,15040,6290,1440,40,570,1180,1750,1790,4210,3600,2380,990,220,32408,96757,64944,161701,161701,163672,147499,149728,154736,173653,950989,88.8,13170,84470,""," 1 Mar 2021"
"AL",2006,9.3,40.3,128.4,75.3,77.1,171.6,159.1,100.8,42.1,8.4,300,4000,8400,12400,12700,27950,24490,14780,6610,1440,40,610,1300,1900,1950,4340,3860,2340,1040,220,32100,99281,65427,164708,164708,162871,153897,146533,157188,170861,956058,92,13740,87960,""," 1 Mar 2021"
"AL",2007,8.6,41.3,125.3,74.9,76.6,175.1,160.7,104.5,43.2,8.3,280,4130,8390,12520,12790,28610,25140,15210,6870,1390,40,630,1300,1930,1970,4440,3960,2410,1080,210,32115,100067,66944,167011,167011,163425,156497,145591,159044,166904,958472,93.9,14070,90010,""," 1 Mar 2021"
"AL",2008,9.7,38.4,122.5,73.1,74.9,171.4,160.6,104.5,42.1,8.2,300,3810,8570,12380,12690,28160,25360,15300,6740,1330,40,580,1320,1900,1950,4380,4000,2430,1060,200,31534,99429,69946,169375,169375,164263,157839,146382,160006,162815,960680,93.2,14010,89580,""," 1 Mar 2021"
"AL",2009,9,37.4,112.7,69.2,70.8,160.6,155.3,103.8,40.4,8.6,280,3680,8070,11750,12030,26710,24530,15460,6440,1380,40,560,1250,1810,1850,4150,3870,2460,1000,210,31312,98244,71623,169867,169867,166287,157961,148915,159486,159544,962060,90,13550,86550,""," 1 Mar 2021"
"AL",2010,7.4,33.9,102.7,62.8,64.2,148.8,152.4,101.8,40.2,9.1,230,3280,7210,10490,10710,25170,23990,15490,6290,1440,30,500,1120,1620,1650,3900,3790,2460,990,220,30943,96667,70194,166861,166861,169146,157432,152163,156465,158649,960716,86.5,13010,83100,""," 1 Mar 2021"
"AL",2011,6.1,30.6,99.6,58.9,60,142.8,150.2,102.8,41.6,9.1,190,2910,6580,9490,9680,24820,23620,15900,6320,1460,30,440,1020,1460,1490,3860,3740,2530,990,220,30905,95128,66083,161211,161211,173800,157220,154766,151732,160206,958935,85.3,12830,81790,""," 1 Mar 2021"
"AL",2012,5.3,26.7,97.4,55.5,56.5,134.7,148,104.1,41.7,8.6,170,2510,6270,8780,8950,23860,23270,16230,6260,1380,20,380,980,1360,1380,3720,3690,2590,990,210,31413,93914,64398,158312,158312,177100,157224,155930,150043,161327,959936,83.3,12580,79950,""," 1 Mar 2021"
"AL",2013,4.3,22.1,86.6,48.2,49.1,134.7,147.6,103.6,41.8,8.4,130,2080,5520,7600,7730,23960,23320,16230,6250,1360,20,320,860,1180,1200,3750,3710,2600,990,210,31524,93823,63803,157626,157626,177905,158005,156578,149526,161412,961052,82,12460,78850,""," 1 Mar 2021"
"AL",2014,3.6,20.8,82.3,45.3,46,134.5,151,110.2,44.5,8.7,120,1960,5130,7090,7210,23690,24190,17280,6700,1390,20,300,800,1100,1120,3710,3850,2770,1060,210,32193,94220,62265,156485,156485,176143,160150,156749,150438,159715,959680,83.8,12720,80450,""," 1 Mar 2021"
"AL",2015,3.1,19.2,78.1,42.4,43,135.8,150.5,111.6,46.4,8.9,100,1830,4830,6660,6760,23320,24640,17390,7050,1380,10,280,750,1040,1050,3650,3920,2790,1120,220,31726,95249,61852,157101,157101,171773,163711,155773,152021,156213,956592,84.2,12750,80550,""," 1 Mar 2021"
"AL",2016,2.9,18.6,73.1,40,40.5,133.3,148.4,113.1,47.3,9.1,90,1780,4530,6310,6400,22160,24900,17560,7310,1370,10,270,710,980,990,3480,3960,2820,1160,210,30215,95841,61960,157801,157801,166262,167822,155261,154324,151166,952636,83.7,12620,79690,""," 1 Mar 2021"
"AL",2017,2.8,16.3,71.2,38.1,38.7,132.7,146.5,113.2,48.4,9.5,80,1540,4430,5980,6060,21640,25010,17500,7530,1420,10,240,690,930,940,3400,3980,2810,1200,220,30085,94528,62254,156782,156782,163072,170715,154630,155452,149348,949999,83.3,12550,79150,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"AR",1988,19.1,76.2,174.9,115.9,119.5,196.1,142.1,73.9,25.6,5.9,320,4090,6310,10390,10710,17390,13240,6730,2170,440,50,600,930,1530,1570,2690,2080,1050,330,60,16615,53607,36066,89673,89673,88651,93179,91136,84712,75749,523100,96.9,7790,50690,""," 1 Mar 2021"
"AR",1992,17.9,70.7,181,115.3,118.8,207.9,149.6,75.5,28.9,5.9,310,3680,6410,10100,10410,17930,12780,7070,2650,500,50,550,960,1510,1560,2720,2000,1090,390,70,17395,52149,35429,87578,87578,86258,85377,93669,91691,84514,529087,97,7830,51340,""," 1 Mar 2021"
"AR",1996,16.5,63.7,170.8,105.8,109.2,190.2,151.1,79.5,31,5.7,320,3690,6420,10110,10430,16770,12770,7440,3050,530,40,570,990,1560,1600,2600,2010,1180,470,80,19243,57936,37613,95549,95549,88180,84503,93568,98661,93399,553860,92.1,7940,50990,""," 1 Mar 2021"
"AR",2000,11.9,50.8,153.9,92.8,95.1,194.9,155.6,86.2,30.9,7.1,220,2920,6070,8990,9210,17680,13530,7570,3110,710,30,450,950,1400,1430,2780,2140,1200,480,110,18748,57439,39463,96902,96902,90737,86956,87776,100651,100196,563218,92,8140,51810,""," 1 Mar 2021"
"AR",2005,8.8,40.7,139,79.7,81.5,183.4,155.8,97,38.2,7.9,170,2360,5310,7680,7850,17830,14390,8460,3440,800,20,370,840,1210,1240,2820,2300,1340,540,120,19530,58060,38219,96279,96279,97189,92360,87213,89850,101584,564475,93.5,8360,52770,""," 1 Mar 2021"
"AR",2006,9,43.5,146.7,84.2,85.9,193.6,157.2,98.1,39.7,8.1,170,2580,5650,8230,8400,18670,15160,8470,3640,810,20,400,890,1290,1310,2970,2420,1350,570,120,19101,59242,38516,97758,97758,96435,96388,86295,91533,100043,568452,97,8740,55140,""," 1 Mar 2021"
"AR",2007,9.1,43.2,143.5,83.1,84.8,195.6,158.1,99,42.1,8.8,170,2560,5620,8190,8360,18780,15520,8510,3890,860,30,400,890,1280,1310,2980,2480,1350,600,130,19115,59368,39176,98544,98544,96034,98159,85904,92510,97890,569041,98.3,8840,55910,""," 1 Mar 2021"
"AR",2008,8.3,43.4,139,82.5,84.1,186.9,156.3,101.1,39.9,8.8,150,2550,5660,8200,8360,18080,15290,8810,3710,830,20,390,890,1290,1310,2860,2440,1400,580,120,18621,58717,40690,99407,99407,96757,97839,87138,93015,94923,569079,96.8,8710,55090,""," 1 Mar 2021"
"AR",2009,7.6,41.5,132.1,79.5,80.9,180.3,156.6,98.1,38.4,8,140,2400,5500,7900,8050,17600,15250,8770,3570,730,20,370,870,1240,1260,2780,2420,1400,550,110,18628,57798,41672,99470,99470,97614,97357,89380,92855,92247,568923,94.9,8520,53960,""," 1 Mar 2021"
"AR",2010,6.7,35.6,125.5,72.9,74.2,166.9,153.7,98.8,39.7,8.5,130,2060,5170,7240,7370,16650,14750,9090,3640,780,20,320,820,1130,1150,2630,2350,1440,570,120,19075,58048,41205,99253,99253,99766,95998,92000,91843,91562,570422,91.7,8260,52280,""," 1 Mar 2021"
"AR",2011,5.9,32.5,119.8,68.1,69.3,160.9,157.2,100.1,39.8,9.1,110,1870,4770,6640,6760,16560,15030,9410,3580,850,20,290,750,1040,1060,2620,2400,1500,560,130,19442,57724,39808,97532,97532,102872,95590,94023,90121,92984,573122,91.1,8260,52180,""," 1 Mar 2021"
"AR",2012,5.1,30.4,109.1,61.8,62.9,157.2,153,102.7,42.6,8.9,100,1760,4210,5970,6070,16430,14600,9790,3810,830,10,270,670,940,950,2600,2340,1560,600,120,19411,57896,38609,96505,96505,104511,95470,95277,89243,93882,574888,89.6,8170,51520,""," 1 Mar 2021"
"AR",2013,3.3,25.6,108.1,58.2,58.9,151.1,154.3,101,43,9.6,60,1490,4120,5610,5670,15870,14700,9700,3850,900,NA,230,660,890,900,2520,2340,1550,610,140,19483,58224,38092,96316,96316,105049,95220,96002,89570,94004,576161,88,8050,50690,""," 1 Mar 2021"
"AR",2014,3.4,22.4,98.9,52.7,53.3,150.6,155.5,106.8,43.9,9.8,70,1310,3760,5070,5140,15770,14950,10270,3960,910,NA,200,600,800,810,2510,2390,1650,630,140,19682,58253,38052,96305,96305,104722,96120,96161,90201,93178,576687,88.4,8140,51000,""," 1 Mar 2021"
"AR",2015,3.6,21.1,94.7,50.2,50.9,148.9,155.9,109.2,45.8,9.3,70,1240,3620,4860,4930,15250,15310,10440,4200,850,10,200,580,780,790,2440,2470,1680,670,130,19309,58624,38253,96877,96877,102401,98229,95678,91788,91852,576825,88.4,8170,50990,""," 1 Mar 2021"
"AR",2016,3.7,19.2,86.8,45.9,46.6,146.4,152.4,107.3,45.5,9.5,70,1130,3330,4460,4530,14700,15330,10210,4260,850,10,180,530,710,720,2350,2470,1650,680,130,19134,58741,38381,97122,97122,100410,100576,95186,93735,89520,576549,86.5,8010,49880,""," 1 Mar 2021"
"AR",2017,4.1,17.3,84,43.8,44.6,142.6,149.8,108.8,44,9.7,80,1010,3220,4230,4310,14150,15280,10330,4170,860,10,160,510,670,690,2260,2460,1670,670,140,19061,58408,38370,96778,96778,99228,102030,95002,94837,88956,576831,85.1,7880,49110,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"AZ",1988,14.4,79.3,192.3,126.6,129.2,228.7,191,114.7,46.6,9.5,330,5910,10320,16240,16560,31400,30460,17440,6240,1060,40,840,1450,2290,2330,4620,4640,2670,940,160,22887,74560,53668,128228,128228,137335,159436,152061,133900,111670,822630,125.4,15340,103170,""," 1 Mar 2021"
"AZ",1992,14.8,81.8,205,131,134,225.2,182.5,116.1,52.6,10.8,380,6220,10350,16570,16960,31640,28360,19490,8020,1450,50,910,1510,2430,2480,4660,4320,3000,1210,210,25934,76048,50471,126519,126519,140493,155417,167869,152478,134897,877673,120.7,15890,105910,""," 1 Mar 2021"
"AZ",1996,12.8,76.2,174,115,117.6,215.4,172,114.5,53.7,12.7,410,7080,10620,17690,18110,32210,29300,20950,9880,2080,60,1040,1570,2610,2670,4840,4500,3260,1500,310,32066,92890,61022,153912,153912,149522,170333,183034,183785,164465,1005051,112,17080,112520,""," 1 Mar 2021"
"AZ",2000,10.9,63.2,163.5,104.4,106.6,203.4,180.2,126.6,57,13.6,390,6650,11990,18630,19020,35380,32150,22460,11000,2560,60,990,1790,2790,2840,5400,5030,3530,1710,380,36084,105120,73295,178415,178415,173916,178397,177429,193155,188420,1089732,112.5,18900,122580,""," 1 Mar 2021"
"AZ",2005,8.1,51.2,150.6,90,91.7,198,181.5,140.1,65.1,14.8,340,6290,11840,18130,18470,39440,36860,26770,12520,3060,50,960,1770,2720,2770,6000,5780,4240,1960,460,41922,122903,78594,201497,201497,199191,203100,191103,192268,206736,1193895,114.9,21210,137120,""," 1 Mar 2021"
"AZ",2006,8.1,51.5,153,91.1,92.7,204,180.8,140.9,68.2,16.2,340,6590,12480,19070,19410,41080,38960,27200,13640,3360,50,1010,1890,2900,2950,6310,6150,4320,2140,500,42550,127834,81548,209382,209382,201354,215474,192985,199961,207042,1226198,117.2,22370,143650,""," 1 Mar 2021"
"AZ",2007,11.3,48.4,148,87.5,89.8,195.5,178,142.5,65.9,16.9,490,6340,12560,18900,19390,40010,39160,27810,13540,3460,60,970,1910,2890,2950,6170,6180,4440,2140,520,43242,130982,84883,215865,215865,204621,220007,195182,205433,204918,1246026,115.1,22400,143370,""," 1 Mar 2021"
"AZ",2008,7.8,47.1,133.9,82.3,83.8,187.3,175.8,139.2,66.7,15.6,340,6200,12000,18190,18530,39090,38870,27560,13850,3170,50,940,1810,2750,2800,5940,6100,4380,2170,480,43278,131594,89563,221157,221157,208701,221050,197927,207586,202829,1259250,112,21870,141080,""," 1 Mar 2021"
"AZ",2009,4.7,38.2,118.6,71.3,72.2,167.8,167.1,131,62.8,15.6,210,5040,10930,15960,16170,35380,36470,26420,13020,3130,30,780,1660,2440,2470,5400,5730,4200,2040,480,43367,131749,92164,223913,223913,210866,218266,201693,207237,200589,1262564,103.4,20310,130590,""," 1 Mar 2021"
"AZ",2010,4.6,31.8,101.8,60.5,61.4,151,159,126,61.3,15.2,200,4190,9320,13510,13710,32450,34050,25860,12550,3070,30,650,1430,2080,2110,4980,5370,4110,1970,470,43316,131768,91582,223350,223350,214922,214174,205278,204692,201737,1264153,96.3,19010,121690,""," 1 Mar 2021"
"AZ",2011,4.3,27.3,98.6,56.1,56.9,143.9,158.1,125.1,63.2,16.2,190,3580,8760,12340,12530,32060,33750,26170,12700,3340,30,550,1340,1890,1910,4910,5280,4150,1990,500,43507,131176,88934,220110,220110,222818,213448,209227,200985,205991,1272579,94.7,18740,120550,""," 1 Mar 2021"
"AZ",2012,3.3,26.4,92.6,53,53.6,137.3,159.1,126.5,63.2,16.3,140,3460,8150,11610,11760,31640,33840,26910,12730,3400,20,540,1260,1790,1810,4860,5330,4280,2000,510,43719,131175,88105,219280,219280,230481,212716,212775,201360,208707,1285319,93.6,18790,120280,""," 1 Mar 2021"
"AZ",2013,2.4,21.6,84.8,46.9,47.4,131.9,157.5,123.7,63.2,15.4,110,2850,7450,10300,10410,30970,33720,26770,12830,3220,20,440,1150,1590,1610,4790,5330,4260,2020,490,44468,131513,87918,219431,219431,234784,214096,216443,203013,209282,1297049,90.9,18500,117920,""," 1 Mar 2021"
"AZ",2014,1.8,18.9,77.4,42.2,42.6,128.5,155.1,127.7,66.1,15.8,80,2520,6840,9350,9440,30510,34020,27970,13580,3300,10,390,1060,1450,1460,4720,5380,4480,2150,500,45739,133356,88377,221733,221733,237521,219312,219017,205541,209198,1312322,90.5,18700,118820,""," 1 Mar 2021"
"AZ",2015,1.8,16.7,69.5,37.7,38.1,124.9,152.2,126.6,65.5,16.3,80,2270,6220,8490,8570,29480,34470,27810,13710,3390,10,350,960,1310,1320,4560,5440,4430,2170,520,45450,135417,89512,224929,224929,236050,226457,219669,209431,207995,1324531,88.7,18430,117420,""," 1 Mar 2021"
"AZ",2016,2.3,14.8,64.7,34.7,35.1,121.9,147.7,128.3,64.3,16.1,100,2040,5880,7920,8020,28590,34700,28410,13830,3320,10,310,890,1210,1220,4410,5460,4530,2180,510,44691,137425,90911,228336,228336,234570,234892,221386,215038,206185,1340407,87.2,18310,116870,""," 1 Mar 2021"
"AZ",2017,1.7,13.5,60.6,32.3,32.6,114.7,139.7,123.3,63.2,16.3,80,1860,5540,7400,7480,26770,33890,27430,13910,3380,10,290,840,1130,1140,4120,5340,4380,2200,520,44672,137599,91447,229046,229046,233459,242622,222486,219908,207334,1354855,83.3,17700,112840,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"CA",1988,19,98.2,228.4,152.5,155.9,241.7,205.6,137.3,65.9,15,3310,56710,94530,151230,154540,276950,277290,183330,75840,14400,400,7030,11980,19010,19410,37850,40340,27180,10980,2010,174353,577625,413826,991451,991451,1145702,1348516,1334889,1151251,957486,6929295,141.8,137770,982360,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of AZ, NV, OR, WA)"," 1 Mar 2021"
"CA",1992,21,100.2,241,156.2,160.6,265.6,206.7,144.9,74.1,18.7,4150,57520,91390,148900,153060,299770,278680,207320,96500,20990,520,7590,12250,19850,20370,41380,40930,30980,14120,2960,197602,573843,379239,953082,953082,1128840,1348532,1431059,1301722,1123035,7286270,145,150730,1056310,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of AZ, NV, OR, WA)"," 1 Mar 2021"
"CA",1996,15.2,79.2,199.7,124.4,127.8,231.6,186.2,135.8,72.2,19.8,3530,51290,77750,129040,132570,232130,235190,187640,97620,23820,460,6850,10630,17480,17930,32710,34660,28440,14510,3420,232435,647586,389333,1036919,1036919,1002422,1263294,1382143,1352234,1201110,7238122,125.6,131670,908980,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of AZ, NV, OR, WA)"," 1 Mar 2021"
"CA",2000,11.6,55.9,157.1,96.3,98.6,202.9,184.7,145.5,75.5,20.5,2800,39710,74100,113810,116610,232220,227030,189980,104380,27370,340,5330,10060,15390,15720,32270,33350,28870,15740,4000,241014,710582,471702,1182284,1182284,1144388,1229480,1306036,1382911,1333879,7578978,118.4,129960,897590,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2005,8.1,42.1,129.2,75.4,77.1,178.2,178,153.2,83.7,22.3,2220,33640,63850,97490,99710,225200,225740,193570,110690,30630,270,4580,8830,13410,13680,31890,33570,29760,16950,4550,274727,799294,494219,1293513,1293513,1264029,1268181,1263443,1322153,1375746,7787065,113.7,130400,885540,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2006,7.6,42.2,133.5,77,78.6,184.1,180.4,156.9,85.8,23.3,2070,34580,67380,101960,104030,232100,234510,193630,114110,31450,250,4710,9360,14070,14320,32850,34810,29740,17450,4680,273119,819346,504789,1324135,1324135,1260991,1299943,1234424,1329355,1350502,7799350,116.7,133840,909830,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2007,7.9,42.6,132.3,77.2,78.7,184.1,182,160.8,87.4,23.7,2090,35410,68710,104120,106210,233000,239530,196850,115680,31350,250,4820,9500,14320,14570,32820,35470,30210,17650,4640,265766,830407,519197,1349604,1349604,1265950,1315736,1224203,1324022,1324229,7803744,118.2,135370,922620,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2008,7.3,40.6,122.4,73,74.5,174.1,175.2,156.8,85.8,24.2,1940,33500,66200,99700,101640,223140,233390,192670,112890,31540,230,4590,9170,13770,14000,31410,34590,29580,17260,4710,263500,824052,541090,1365142,1365142,1281747,1332141,1228822,1315297,1305301,7828450,114.4,131550,895260,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2009,6.6,37.1,110.5,66.9,68.1,160.3,167,150.2,83.8,24.1,1740,30230,61490,91710,93450,208960,223240,187550,108910,31100,210,4150,8540,12690,12890,29360,33120,28790,16670,4640,263307,815087,556358,1371445,1371445,1303607,1336716,1249089,1300076,1290939,7851872,108.7,125480,853220,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2010,5.8,32.4,101,60.3,61.4,147.9,161,146.4,83,23.9,1490,26130,55970,82100,83580,197640,215330,186570,106070,31070,170,3590,7800,11390,11560,27760,32020,28680,16280,4640,258820,807506,554209,1361715,1361715,1336469,1337557,1274437,1277518,1298232,7885928,104,120950,820260,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"CA",2011,5.2,28.6,92.4,54.2,55.2,136.3,155.7,146.1,83.6,24.2,1330,22770,49480,72260,73590,187830,209690,189760,105010,31760,160,3150,6900,10050,10210,26440,31270,29290,16190,4760,255205,796957,535615,1332572,1332572,1378097,1346938,1299223,1256326,1312420,7925576,100.6,118160,797640,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
